,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
313,208.494028,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,93,1,1.100355938,0.166910966,149.0080288,10.67131803,250.3492511,5.984780163,16.386,48.214
314,177.406914,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,84,1,3.338398227,0.709400996,90.35151901,6.470589546,125.5594769,3.001590232,16.32875,48.20938
315,190.2624874,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,89,1,0.629710382,0.161512307,200.2223857,14.33907133,393.1828029,9.399319666,16.37864,48.21311
316,202.8843232,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,3.988171526,0.441088633,60.27537363,4.316664588,87.9779089,2.10317563,16.41096,48.23433
317,370.9417292,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,96,1,2.110368528,0.440932036,109.2411981,7.823387612,159.4475671,3.811709571,16.395,48.196
318,112.6615712,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,92,1,4.991977914,0.341395528,90.8302886,6.504876978,85.1522626,2.035626509,16.30853,48.19753
319,182.081668,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,86,1,4.034390136,0.338602355,69.81334378,4.999733235,91.67372745,2.191526849,16.38224,48.17269
320,223.9207162,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,89,1,3.942980007,0.342373686,71.35726505,5.110302277,93.8378119,2.243260855,16.38257,48.17356
321,281.8876657,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,88,2,3.927996442,0.335413987,71.63956973,5.130519731,94.25782168,2.253301493,16.38251,48.17369
322,238.8799289,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,1,4.18041511,0.635132212,72.78602815,5.212624182,97.84574951,2.339073507,16.31818,48.21478
323,182.081668,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,97,1,4.139739844,0.573474705,74.38112233,5.326858008,99.65575135,2.382342912,16.31843,48.21343
324,171.7972092,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,75,1,4.693143473,0.227869077,60.75342269,4.350900418,78.62394383,1.87956232,16.37983,48.16651
325,171.7972092,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,63,1,2.218801507,0.91762096,92.77919953,6.644449647,139.9648946,3.345962174,16.38768,48.22615
326,182.081668,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,7,72,1,3.778066192,0.495303832,74.14224859,5.309750892,97.0404224,2.319821579,16.38449,48.17532
327,196.1059299,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,80,1,3.760499535,0.133288615,75.52808453,5.408998538,101.7303515,2.431937731,16.37945,48.17492
328,200.7806839,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,0,2.35717894,0.232266821,95.30124371,6.82506767,137.5845361,3.289057981,16.402,48.199
329,162.4477012,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,98,1,3.573736249,0.527707602,103.7526982,7.430324712,129.8533287,3.10423787,16.33134,48.19326
330,343.3606806,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,95,1,0.204626494,0.116098419,605.0452873,43.33075696,636.4024539,15.21366157,16.371,48.209
331,306.1963864,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,80,1,2.56143906,0.359046028,121.1160433,8.673813262,193.7687559,4.632182445,16.34148,48.20027
332,123.6472431,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,86,0,2.677195865,0.211938326,102.9558942,7.373261015,156.8001499,3.748421146,16.33835,48.21332
333,129.7244233,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,3.990399542,0.362303211,70.49489548,5.048543055,92.58342294,2.213273779,16.38268,48.17314
334,111.259145,Private room,FALSE,TRUE,3,FALSE,1,0,9,88,2,1.971813935,0.452362278,112.9425055,8.088459425,171.3499596,4.096244885,16.39468,48.1977
335,107.7530795,Private room,FALSE,TRUE,3,TRUE,1,0,9,98,1,3.500414497,0.39212768,64.39797489,4.611907666,108.5064312,2.593924823,16.38748,48.23863
